"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"f011d837-1cab-403c-8bca-51bc77f686ec","Colton","Dowell","-","0.0",,"WR","SF",,
"de3aa862-92f1-430e-ba20-bb079f1591e8","Nikola","Kalinic","-","0.0",,"TE","CHI",,
"322a0525-829e-4b37-a8f8-f5a046f1da2f","Corey","Kiner","-","0.0",,"RB","ARI",,
"6bf1a468-8372-4d82-8fea-0ed37650ed23","Ricky","Seals-Jones","-","0.0",,"TE",,,
"828e279b-2c87-4d90-ab2e-2b7b37889e9c","Samori","Toure","-","0.0",,"WR","NO",,
"7e6f6802-ff96-4ef9-8e01-14724b993253","Craig","Reynolds","-","0.0",,"RB",,,
"0dfbc5f1-ad18-4996-ad78-ce1d032d130b","Braylon","Sanders","-","0.0",,"WR",,,
"f47cdbe0-d64c-43e9-a75d-83aceb96372c","Matt","LaCosse","-","0.0",,"TE",,,
"adbdef6a-5c34-4563-9878-6473f5490518","Jeff","Smith","-","0.0",,"WR",,,
"cd2ba131-3706-4ce1-9e6d-7eb957f5a6c1","DeWayne","McBride","-","0.0",,"RB",,,
"e8c1723e-3ec3-49f0-a83b-c7af9c62babc","Luis","Perez","-","0.0",,"QB",,,
"f66d75d8-0185-47e9-ad66-541bda7eb752","Armani","Rogers","-","0.0",,"TE",,,
"53ffaf45-c3aa-4a6c-a459-0a5259b4f104","Trey","Palmer","-","0.0",,"WR","NO",,
"b09279b5-72ba-439d-b384-4aedddc23b0a","Chris","Carson","-","0.0",,"RB",,,
"972c1749-c532-4a50-a1de-2c74b3f88286","Adam","Thielen","-","0.0",,"WR",,,
"3739608a-97c0-4eef-aa3f-c39b049bd703","Payton","Thorne","-","0.0",,"QB",,,
"e8ab7ee8-c216-4365-84d1-97071f48a673","Austin","Jones","-","0.0",,"RB",,,
"506a28be-3709-494b-9614-7aeaa5d96b5f","Seth","Williams","-","0.0",,"WR",,,
"f823d5ba-3451-4fa6-bc4d-b4d661858906","Giles","Jackson","-","0.0",,"WR",,,
"b93eaf91-c5a3-4a8b-ad58-35f8e5850814","Marcell","Ateman","-","0.0",,"WR",,,
"b6fc1eff-ec88-4523-9656-d9fd6b53a7ff","Ezekiel","Elliott","-","0.0",,"RB","DAL",,
"99cf8cd8-945b-4740-8359-6b09dfd470b4","DeVante","Parker","-","0.0",,"WR",,,
"2647b1fa-7462-42f6-9c0c-7af8e832e27e","Tim","Boyle","-","0.0",,"QB",,,
"449325dc-11c8-4792-9da3-bea5d9df0b57","Kaden","Wetjen","-","0.0",,"WR",,,
"207562cb-4ad5-45b9-b842-1020d4ab18b0","Jeshaun","Jones","-","0.0",,"WR","MIN",,
"878aad5f-c243-4060-99d4-3dd62c5e7d3b","Zaire","Mitchell-Paden","-","0.0",,"TE","NO",,
"88f49e7b-9a9b-46fb-8a5e-e86b861d4796","John","FitzPatrick","-","0.0",,"TE",,,
"875c08ba-6676-453a-98d4-27dc7d74e827","Logan","Woodside","-","0.0",,"QB",,,
"36ace6b0-eb4c-496e-9b80-1077e548ba36","Sam","Brown","-","0.0",,"WR",,,
"648033dc-0124-429a-9a89-7ddb9f195885","Qadree","Ollison","-","0.0",,"RB",,,
"d230d384-a222-4aec-b7ca-a07e7d0b4b16","Deshaun","Fenwick","-","0.0",,"RB",,,
"3763793e-a9ef-4af2-b711-a3e597c68fee","Zander","Horvath","-","0.0",,"RB",,,
"6fd7f2d3-4fbf-4bc9-bd92-44d72bf8b1c1","Logan","Thomas","-","0.0",,"TE",,,
"96b00db2-4d7b-4c8c-93bb-a5ab7ea6db6a","Malik","Taylor","-","0.0",,"WR",,,
"067592f0-6509-4c49-a013-d08e5d512b6a","Jacob","Eason","-","0.0",,"QB",,,
"fa5d3daf-e9c9-4f1b-ad98-385d0672da5d","Joe","Reed","-","0.0",,"WR",,,
"b5c061b5-0fe2-4b24-9196-dcd20e9a868f","Eric","Ebron","-","0.0",,"TE",,,
"2bd1add2-a01f-46ad-99d3-f6e07c346b77","Anthony","Miller","-","0.0",,"WR",,,
"348b5dc8-e106-4ffb-b058-ee609e9e0a6e","Charleston","Rambo","-","0.0",,"WR",,,
"0d07de49-9bdc-455c-9dbe-b942e057b5d0","T.J.","Luther","-","0.0",,"WR",,,
"4c286f7d-da6a-41ba-a471-f1fcad219888","Brandon","Powell","-","0.0",,"WR",,,
"999d8e9e-82e1-4314-aee4-5c97b1ee48ee","Deneric","Prince","-","0.0",,"RB",,,
"46138876-0318-4746-a61f-9b33cbcdc91f","Phillip","Brooks","-","0.0",,"WR",,,
"e71ae77e-dcbd-43d8-96a1-c986d2b5da7d","Rashard","Higgins","-","0.0",,"WR",,,
"19d6019b-fdcb-403f-9fef-d6b7146855b6","Ricky","Person","-","0.0",,"RB",,,
"5c993c9f-7cfd-46d5-9a0e-986ab1c27b2f","Brenden","Bates","-","0.0",,"TE","CLE",,
"3233ed0b-c669-48d1-9b6f-f2a9b0f25a94","Cephus","Johnson","-","0.0",,"WR",,,
"b1fa01c2-938f-4ef1-8f2c-42716237a892","Taiwan","Jones","-","0.0",,"RB",,,
"dab88fd5-33ee-430c-9c8c-b8be161b04ff","Shaquan","Davis","-","0.0",,"WR",,,
"7d93ead3-93f0-4a9d-85c3-504328c42e72","Owen","Wright","-","0.0",,"RB","TB",,
"5e6778cf-2357-4dad-a725-36eb83bf7486","Dennis","Houston","-","0.0",,"WR","TB",,
"3ed3bfce-c9a9-4f42-8c0a-43702e7e449b","Tre'Quan","Smith","-","0.0",,"WR",,,
"efc26b9a-4d41-4dc0-8425-7806c1f284d0","Adam","Shaheen","-","0.0",,"TE",,,
"1d88d6df-e227-42a4-8909-7eff2f18214e","Joshua","Dobbs","-","0.0",,"QB",,,
"fa8107ca-2809-4452-810d-81a0c1d49513","DJ","Turner","-","0.0",,"WR",,,
"a8c6ef44-3a37-4c86-9c18-50d0432f9286","Austin","Reed","-","0.0",,"QB",,,
"b4ce4862-3c92-4b80-8782-4ac3d309d2ff","Marcus","Rosemy-Jacksaint","-","0.0",,"WR",,,
"1341c6b5-366f-4a8d-8929-9c2b43060095","Thomas","Fidone","-","0.0",,"TE","NYG",,
"31fed9a1-b332-4a30-8751-aef602ab14f8","Nate","Noel","-","0.0",,"RB",,,
"7ca8cb1d-4dff-4015-94e4-45ce09087af7","Keilahn","Harris","-","0.0",,"WR",,,
"e781361a-209b-4394-b62a-6e4aab5e2a81","Cam","Grandy","-","0.0",,"TE","CIN",,
"b067967c-394a-47c8-8863-4d14b7d1d254","Dax","Milne","-","0.0",,"WR",,,
"94ac9789-6936-4291-bad4-b39735197545","Caullin","Lacy","-","0.0",,"WR",,,
"ac04aaa9-0de8-4c2c-a052-5c0c949f9a7a","Ryan","Tannehill","-","0.0",,"QB",,,
"5ea148f4-b488-4c0f-9f49-fd2c074138ef","Kene","Nwangwu","-","0.0",,"RB","NYJ",,
"5166aed6-f9f1-4163-9fb4-6dacf4406e29","Michael","Pratt","-","0.0",,"QB",,,
"c1dbe39a-c909-4e1e-8952-b31f6f237df6","Jarvis","Landry","-","0.0",,"WR",,,
"e6bb4b6d-b2b6-446b-8c2f-f9a27dd2783b","Cole","Turner","-","0.0",,"TE","MIA",,
"3bbf88ce-3649-4fe3-b321-b2026d2e20e0","James","O'Shaughnessy","-","0.0",,"TE",,,
"c2b51764-8afa-4739-8719-6f74b7c7e6b5","Jalen","Cropper","-","0.0",,"WR",,,
"5df6c28e-255a-4a53-92fc-53af23fb7b9d","Sean","McKeon","-","0.0",,"TE","IND",,
"e285720d-2bed-4675-99d3-3bfab5498fea","Denzel","Mims","-","0.0",,"WR",,,
"6081a58b-7ae0-47e1-add6-c028d14c53e2","Albert","Okwuegbunam","-","0.0",,"TE","LV",,
"d0fdca66-42be-4419-ac89-9d95be49a632","Sawyer","Robertson","-","0.0",,"QB",,,
"b464489b-bf3c-4d18-aa72-4b83e8ffb15b","Scotty","Miller","-","0.0",,"WR",,,
"38cab376-575a-45c9-8bd7-6bbfbfcacb9b","Jalin","Conyers","-","0.0",,"TE","MIA",,
"d96d2e10-79d6-4ca8-bfb8-383a5a5d4510","Pete","Guerriero","-","0.0",,"RB",,,
"6ab0b134-baa8-4c22-8cea-a3c95d06f5a7","N'Keal","Harry","-","0.0",,"TE",,,
"dbd9f1f7-ce84-4580-b559-240027dddbf7","Brandon","Allen","-","0.0",,"QB","NYG",,
"e84d47d6-9a7c-4106-8119-f22a3afd29e4","Hayden","Hatten","-","0.0",,"WR",,,
"6c05a3ab-6447-417e-986b-c713baa80595","La'Mical","Perine","-","0.0",,"RB",,,
"6131096e-860d-46a9-8c35-6f99bbb950ff","Peyton","Hendershot","-","0.0",,"TE",,,
"de7041bb-b56f-4bb4-847a-c9892bda0b1b","Jared","Wayne","-","0.0",,"WR","HOU",,
"bfefc920-6a2f-414f-bf8f-b82f6eca72ce","Tony","Brown","-","0.0",,"WR",,,
"a5add42f-3abc-4986-83cc-4b021952199c","Gabe","Davis","-","0.0",,"WR",,,
"f27a6caa-fb96-4a55-a5a3-7bddbcadeb99","Montorie","Foster","-","0.0",,"WR","SEA",,
"48176c26-4529-4840-b4ed-1cdad2751286","Adrian","Martinez","-","0.0",,"QB","SF",,
"89ddb0fb-14a4-4570-88d9-a525b372ab24","Patrick","Herbert","-","0.0",,"TE","JAX",,
"27752b82-b3bd-4ccb-a5d3-8dbb8814dd35","Robert","Lewis","-","0.0",,"WR",,,
"879086a0-f8eb-4692-9596-81d2d6391a0b","David","Blough","-","0.0",,"QB",,,
"85a29e8f-c292-4656-9edb-9dad4a302759","Bryan","Thompson","-","0.0",,"WR",,,
"ac8d73bb-7129-4ebe-865d-851a3ccc90ad","Salvon","Ahmed","-","0.0",,"RB",,,
"086e6ffa-de72-4937-9046-9d89c7830ed3","Nathan","Carter","-","0.0",,"RB","ATL",,
"91d0535d-dc7d-4422-82ff-abf56418a388","Trace","McSorley","-","0.0",,"QB",,,
"7c35e934-a10c-42d0-8444-f7df484fa658","Dai'Jean","Dixon","-","0.0",,"WR",,,
"58ff2712-13c2-4025-bcb7-9c7fadac4e8c","Melvin","Gordon III","-","0.0",,"RB",,,
"bdfe3e78-76b6-48e3-8f58-21c09e84ace5","Rivaldo","Fairweather","-","0.0",,"TE","ARI",,
"102fb9ff-b260-42da-9d75-ecf67a6a60b0","Chase","Roberts","-","0.0",,"WR",,,
"58619510-459f-4cd1-b79b-0c2075d57cd3","Sterling","Shepard","-","0.0",,"WR",,,
"6f385718-3d76-4853-9843-d2324108d70f","Marcedes","Lewis","-","0.0",,"TE",,,
"2695dd38-cb15-4384-ab7d-dc9b8e3f79c3","Dalen","Cambre","-","0.0",,"WR","NYG",,
"df150a57-30c7-41d8-8f14-77c40cd38fd9","Andre","Baccellia","-","0.0",,"WR","ARI",,
"ee486dbb-1f34-4017-a37c-ae4a1ccd5e3f","Austin","Trammell","-","0.0",,"WR","JAX",,
"cf90b7b8-1c52-4aa5-b766-44c2f61db7aa","Nick","Vannett","-","0.0",,"TE",,,
"f7eaf5c5-e83b-481e-871d-7049d8f815f8","D.J.","Williams","-","0.0",,"RB",,,
"f5d0c6b9-7fc5-4d60-ac80-80ba390b7c07","Hank","Beatty","-","0.0",,"WR",,,
"e11fc79e-18ec-459a-835b-fdb566022fc2","Josh","Williams","-","0.0",,"RB","TB",,
"e7043ccb-63a0-40b9-83c7-7085da3fb1e2","Boston","Scott","-","0.0",,"RB",,,
"75768915-8483-4ce8-8f8f-b1f5c672cf5a","Thaddeus","Moss","-","0.0",,"TE",,,
"a1a5134e-4147-4e1e-bc4e-fa09bda99277","Xavier","Grimble","-","0.0",,"TE",,,
"de0a9863-2185-4a9b-a8f8-857ee9af0d8c","Robert","Tonyan","-","0.0",,"TE",,,
"0a4c2dcf-798f-46b1-9710-cfa683ec39bb","Anthony","Brown","-","0.0",,"QB",,,
"b3bb8637-2341-4f4b-af01-22c8e6cb9e87","Richard","Rodgers","-","0.0",,"TE",,,
"fcf02ad2-d121-4ad4-a4f3-11286442cebd","Bailey","Gaither","-","0.0",,"WR",,,
"af9bc7b6-fdfe-4c60-b199-3508e9abad3a","Jeff","Wilson Jr.","-","0.0",,"RB",,,
"559fb1ff-7e0b-4df7-962f-aa251be64069","Hunter","Long","-","0.0",,"TE","JAX",,
"26267416-3042-416a-87a0-499861cf6d88","Malik","Flowers","-","0.0",,"WR",,,
"506acbf6-d40d-413a-804b-b1b88f57aa9a","Isaiah","Wooden","-","0.0",,"WR","CLE",,
"9a5f030e-a843-4a54-87aa-4a08fe407401","Theo","Riddick","-","0.0",,"RB",,,
"714b9e10-4ada-455e-a8ad-e869a265cde1","Matt","Sokol","-","0.0",,"TE",,,
"e62fb788-c84a-4f00-8f9e-4bd1ffc730cb","Curtis","Hodges","-","0.0",,"TE",,,
"3f534681-235b-479a-9f7f-49b46d92cf59","David","Martin-Robinson","-","0.0",,"TE","TEN",,
"805e7e9a-65c9-4cc1-a6ee-740bef7c598a","Malik","Cunningham","-","0.0",,"WR","DET",,
"322ad23a-7a5a-4740-9b2e-8e6a9f3bfab8","Erik","Ezukanma","-","0.0",,"WR",,,
"a78c336a-f043-4845-b2d3-47b48a24a214","Chris","Pierce","-","0.0",,"TE",,,
"1d1e6cef-086b-4878-86e2-df303b613276","Hayden","Rucci","-","0.0",,"TE","SF",,
"e9d6f9da-9f11-433e-b041-f49493e79515","Pierre","Strong Jr.","-","0.0",,"RB","GB",,
"99e22f99-909f-4299-bfda-f69ca75ee042","Malcolm","Perry","-","0.0",,"WR",,,
"be6b435d-8b58-4b1c-bf4b-4c33c87bfb49","Nate","Boerkircher","-","0.0",,"TE",,,
"178af1d7-b8c2-4352-be8a-089712728525","Jamoi","Mayes","-","0.0",,"WR",,,
"fa9c8705-5def-4d7f-88a6-897ff9022d38","Cody","Schrader","-","0.0",,"RB","DEN",,
"ad84c9f3-fcd3-4ff0-96cb-ed74c9d14e18","Taylor","Elgersma","-","0.0",,"QB",,,
"b245e35a-861b-4de5-8c65-ac63b3ab3444","Devon","Allen","-","0.0",,"WR",,,
"d09c7110-5c4e-4eb4-8b2b-5c9383bbc0de","Juwann","Winfree","-","0.0",,"WR",,,
"2087585e-807f-4f70-9a3b-916323f89025","C.J.","Uzomah","-","0.0",,"TE",,,
"7ea00793-952c-4b99-871a-eea575a9f233","Sam","Pinckney","-","0.0",,"WR",,,
"b2c597cb-afce-4dfd-ba31-275b86dcf795","Damien","Williams","-","0.0",,"RB",,,
"cc26c0b6-0745-456d-9927-882a10f9b7bd","Makai","Polk","-","0.0",,"WR",,,
"48b9f1fd-bcbb-476d-9ddf-610502310dad","Simi","Fehoko","-","0.0",,"WR","ARI",,
"3a9d06ff-e491-4beb-ad79-a0b8af7526a2","Gavin","Hardison","-","0.0",,"QB",,,
"e68bc769-aa01-475b-b738-7c390020ab37","Sean","Clifford","-","0.0",,"QB","CIN",,
"1f9f5102-e716-47d5-b39a-481f77f72b15","Trinidad","Chambliss","-","0.0",,"QB",,,
"e0cbccf5-eb42-480e-a7f9-58a6d8a416cb","Micah","Bernard","-","0.0",,"RB",,,
"0f50cd38-095f-4059-94ef-3376425ee580","Stanley","Morgan","-","0.0",,"WR",,,
"e3483a58-8c47-4cb3-aa36-449ba8258c8e","Miles","Kitselman","-","0.0",,"TE",,,
"3324bf4a-377b-4bde-8f24-380ab961e382","Darrynton","Evans","-","0.0",,"RB",,,
"fe185af0-5ea1-400b-ba68-754813802b96","Jake","Kumerow","-","0.0",,"WR",,,
"0a971044-f280-4894-96c8-df7481fc53a5","Jake","Fromm","-","0.0",,"QB",,,
"dfae7416-023b-4d71-a89d-b52e203b2fb8","DeAndre","Carter","-","0.0",,"WR",,,
"0357a12c-e7e4-47c4-bd88-440f21a6edc0","Gary","Brightwell","-","0.0",,"RB","CIN",,
"5a06a364-0c19-4cc5-be0d-f6ed33db9b30","Mike","Boone","-","0.0",,"RB",,,
